2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:04:19.181: epoch169 Q1:	0.777	0.7677	0.6964	0.7491
2024-04-21 18:04:19.491: epoch170 Q1:	0.7766	0.7669	0.696	0.7488
2024-04-21 18:04:19.804: epoch171 Q1:	0.7776	0.7683	0.6969	0.749
2024-04-21 18:04:20.177: epoch172 Q1:	0.7779	0.7686	0.6974	0.7495
2024-04-21 18:04:20.556: epoch173 Q1:	0.7773	0.7677	0.6965	0.7488
2024-04-21 18:04:20.867: epoch174 Q1:	0.7777	0.7678	0.6969	0.7488
2024-04-21 18:04:21.177: epoch175 Q1:	0.7781	0.7686	0.6977	0.7494
2024-04-21 18:04:21.556: epoch176 Q1:	0.7788	0.7684	0.6979	0.7496
2024-04-21 18:04:21.930: epoch177 Q1:	0.7788	0.7692	0.6984	0.7498
2024-04-21 18:04:22.306: epoch178 Q1:	0.7792	0.7694	0.6986	0.7499
2024-04-21 18:04:22.679: epoch179 Q1:	0.7797	0.7698	0.6994	0.7502
2024-04-21 18:04:23.053: epoch180 Q1:	0.7793	0.7702	0.6994	0.7502
2024-04-21 18:04:23.366: epoch181 Q1:	0.78	0.7698	0.6994	0.7501
2024-04-21 18:04:23.740: epoch182 Q1:	0.78	0.7694	0.6993	0.75
2024-04-21 18:04:24.115: epoch183 Q1:	0.7796	0.7706	0.6997	0.7502
2024-04-21 18:04:24.427: epoch184 Q1:	0.7807	0.7705	0.7004	0.7506
2024-04-21 18:04:24.801: epoch185 Q1:	0.7806	0.7702	0.7001	0.7506
2024-04-21 18:04:25.112: epoch186 Q1:	0.7807	0.7701	0.7	0.7502
2024-04-21 18:04:25.488: epoch187 Q1:	0.7805	0.7716	0.7009	0.7505
2024-04-21 18:04:25.799: epoch188 Q1:	0.7819	0.771	0.7015	0.7513
2024-04-21 18:04:26.174: epoch189 Q1:	0.7819	0.7722	0.7019	0.7511
2024-04-21 18:04:26.548: epoch190 Q1:	0.7816	0.7716	0.7014	0.7508
2024-04-21 18:04:26.860: epoch191 Q1:	0.7824	0.7709	0.7019	0.751
2024-04-21 18:04:27.235: epoch192 Q1:	0.782	0.7725	0.7021	0.7511
2024-04-21 18:04:27.546: epoch193 Q1:	0.7824	0.771	0.7018	0.7511
2024-04-21 18:04:27.923: epoch194 Q1:	0.7826	0.7713	0.7022	0.751
2024-04-21 18:04:28.297: epoch195 Q1:	0.7819	0.7725	0.702	0.751
2024-04-21 18:04:28.609: epoch196 Q1:	0.784	0.7725	0.7038	0.7523
2024-04-21 18:04:28.984: epoch197 Q1:	0.7831	0.7729	0.703	0.7517
2024-04-21 18:04:29.294: epoch198 Q1:	0.783	0.7727	0.703	0.7515
2024-04-21 18:04:29.607: epoch199 Q1:	0.7843	0.7735	0.7044	0.7525
2024-04-21 18:04:29.980: epoch200 Q1:	0.7838	0.7745	0.7042	0.7522
2024-04-21 18:04:30.291: epoch201 Q1:	0.7847	0.774	0.7051	0.7527
2024-04-21 18:04:30.666: epoch202 Q1:	0.7845	0.7744	0.7052	0.7528
2024-04-21 18:04:30.977: epoch203 Q1:	0.785	0.7756	0.7057	0.7529
2024-04-21 18:04:31.352: epoch204 Q1:	0.7863	0.7762	0.7075	0.754
2024-04-21 18:04:31.727: epoch205 Q1:	0.7858	0.7762	0.7069	0.7537
2024-04-21 18:04:32.037: epoch206 Q1:	0.7866	0.7774	0.7084	0.7542
2024-04-21 18:04:32.416: epoch207 Q1:	0.7874	0.7781	0.7085	0.7556
2024-04-21 18:04:32.791: epoch208 Q1:	0.7874	0.778	0.7092	0.7547
2024-04-21 18:04:33.168: epoch209 Q1:	0.7868	0.7776	0.7078	0.7547
2024-04-21 18:04:33.479: epoch210 Q1:	0.788	0.7785	0.7097	0.7555
2024-04-21 18:04:33.854: epoch211 Q1:	0.7873	0.7777	0.709	0.7545
2024-04-21 18:04:34.167: epoch212 Q1:	0.7882	0.7782	0.7093	0.756
2024-04-21 18:04:34.543: epoch213 Q1:	0.7886	0.778	0.71	0.7561
2024-04-21 18:04:34.917: epoch214 Q1:	0.7882	0.7777	0.7097	0.7552
2024-04-21 18:04:35.231: epoch215 Q1:	0.789	0.7779	0.7099	0.7562
2024-04-21 18:04:35.607: epoch216 Q1:	0.7889	0.7782	0.71	0.7569
2024-04-21 18:04:35.918: epoch217 Q1:	0.7894	0.7784	0.7109	0.7562
2024-04-21 18:04:36.292: epoch218 Q1:	0.7894	0.7789	0.7109	0.7568
2024-04-21 18:04:36.668: epoch219 Q1:	0.7898	0.7789	0.7113	0.7573
2024-04-21 18:04:37.043: epoch220 Q1:	0.7905	0.7792	0.7121	0.7577
2024-04-21 18:04:37.420: epoch221 Q1:	0.7902	0.7801	0.7118	0.7575
2024-04-21 18:04:37.731: epoch222 Q1:	0.7904	0.779	0.7116	0.7574
2024-04-21 18:04:38.043: epoch223 Q1:	0.7902	0.7797	0.7121	0.7578
2024-04-21 18:04:38.355: epoch224 Q1:	0.791	0.7796	0.7123	0.7579
2024-04-21 18:04:38.729: epoch225 Q1:	0.7903	0.7803	0.7119	0.7578
2024-04-21 18:04:39.044: epoch226 Q1:	0.7917	0.7801	0.7134	0.7583
2024-04-21 18:04:39.426: epoch227 Q1:	0.7912	0.7815	0.713	0.7586
2024-04-21 18:04:39.738: epoch228 Q1:	0.792	0.78	0.7134	0.758
2024-04-21 18:04:40.113: epoch229 Q1:	0.7916	0.7827	0.714	0.7592
2024-04-21 18:04:40.427: epoch230 Q1:	0.7922	0.7805	0.714	0.7586
